14.982	62.562
15.171	62.572
18.354	62.552
11.427	62.582
18.666	62.542
7.825	62.592
18.095	62.532
5.318	62.602
17.117	62.522
3.838	62.612
14.037	62.512
2.781	62.622
10.648	62.502
2.053	62.632
8.614	62.492
1.568	62.642
6.490	62.482
1.214	62.652
4.810	62.472
0.970	62.662
3.491	62.462
0.799	62.672
2.532	62.452
0.677	62.682
1.844	62.442
0.593	62.692
1.400	62.432
0.530	62.702
1.062	62.422
0.482	62.712
0.864	62.412
0.444	62.722
0.704	62.402
0.417	62.732
0.586	62.392
0.399	62.742
0.525	62.382
0.385	62.752
0.472	62.372
0.373	62.762
0.437	62.362
0.368	62.772
0.310	62.352
0.360	62.782
0.394	62.342
0.356	62.792
0.378	62.332
0.354	62.802
0.365	62.322
0.350	62.812
