4.309	62.562
15.479	62.572
18.567	62.552
11.225	62.582
19.864	62.542
7.798	62.592
17.817	62.532
5.548	62.602
16.633	62.522
3.859	62.612
14.593	62.512
2.687	62.622
11.353	62.502
2.059	62.632
8.595	62.492
1.560	62.642
6.469	62.482
1.214	62.652
4.585	62.472
0.973	62.662
3.418	62.462
0.804	62.672
2.459	62.452
0.681	62.682
1.828	62.442
0.597	62.692
1.354	62.432
0.534	62.702
1.064	62.422
0.486	62.712
0.853	62.412
0.449	62.722
0.702	62.402
0.421	62.732
0.597	62.392
0.403	62.742
0.528	62.382
0.387	62.752
0.479	62.372
0.378	62.762
0.451	62.362
0.368	62.772
0.415	62.352
0.364	62.782
0.395	62.342
0.357	62.792
0.383	62.332
0.354	62.802
0.369	62.322
0.352	62.812
